day_stem_code,branch_code,stage_order,stage_code,stage_ko,direction,source_ref
gyeong,sin,4,geonrok,건록,forward,/명리학/05_12운성/00_소개.md
gyeong,yu,5,jewang,제왕,forward,/명리학/05_12운성/00_소개.md
gyeong,sul,6,soe,쇠,forward,/명리학/05_12운성/00_소개.md
gyeong,hae,7,byeong,병,forward,/명리학/05_12운성/00_소개.md
gyeong,ja,8,sa,사,forward,/명리학/05_12운성/00_소개.md
gyeong,chuk,9,myo,묘,forward,/명리학/05_12운성/00_소개.md
gyeong,in,10,jeol,절,forward,/명리학/05_12운성/00_소개.md
gyeong,myo,11,tae,태,forward,/명리학/05_12운성/00_소개.md
gyeong,jin,12,yang,양,forward,/명리학/05_12운성/00_소개.md
sin,ja,1,jangsaeng,장생,reverse,/명리학/05_12운성/00_소개.md
sin,hae,2,mogyok,목욕,reverse,/명리학/05_12운성/00_소개.md
sin,sul,3,gwandae,관대,reverse,/명리학/05_12운성/00_소개.md
sin,yu,4,geonrok,건록,reverse,/명리학/05_12운성/00_소개.md
sin,sin,5,jewang,제왕,reverse,/명리학/05_12운성/00_소개.md
sin,mi,6,soe,쇠,reverse,/명리학/05_12운성/00_소개.md
sin,o,7,byeong,병,reverse,/명리학/05_12운성/00_소개.md
sin,sa,8,sa,사,reverse,/명리학/05_12운성/00_소개.md
sin,jin,9,myo,묘,reverse,/명리학/05_12운성/00_소개.md
sin,myo,10,jeol,절,reverse,/명리학/05_12운성/00_소개.md
sin,in,11,tae,태,reverse,/명리학/05_12운성/00_소개.md
sin,chuk,12,yang,양,reverse,/명리학/05_12운성/00_소개.md
im,sin,1,jangsaeng,장생,forward,/명리학/05_12운성/00_소개.md
im,yu,2,mogyok,목욕,forward,/명리학/05_12운성/00_소개.md
im,sul,3,gwandae,관대,forward,/명리학/05_12운성/00_소개.md
im,hae,4,geonrok,건록,forward,/명리학/05_12운성/00_소개.md
im,ja,5,jewang,제왕,forward,/명리학/05_12운성/00_소개.md
im,chuk,6,soe,쇠,forward,/명리학/05_12운성/00_소개.md
im,in,7,byeong,병,forward,/명리학/05_12운성/00_소개.md
im,myo,8,sa,사,forward,/명리학/05_12운성/00_소개.md
im,jin,9,myo,묘,forward,/명리학/05_12운성/00_소개.md
im,sa,10,jeol,절,forward,/명리학/05_12운성/00_소개.md
im,o,11,tae,태,forward,/명리학/05_12운성/00_소개.md
im,mi,12,yang,양,forward,/명리학/05_12운성/00_소개.md
gye,myo,1,jangsaeng,장생,reverse,/명리학/05_12운성/00_소개.md
gye,in,2,mogyok,목욕,reverse,/명리학/05_12운성/00_소개.md
gye,chuk,3,gwandae,관대,reverse,/명리학/05_12운성/00_소개.md
gye,ja,4,geonrok,건록,reverse,/명리학/05_12운성/00_소개.md
gye,hae,5,jewang,제왕,reverse,/명리학/05_12운성/00_소개.md
gye,sul,6,soe,쇠,reverse,/명리학/05_12운성/00_소개.md
gye,yu,7,byeong,병,reverse,/명리학/05_12운성/00_소개.md
gye,sin,8,sa,사,reverse,/명리학/05_12운성/00_소개.md
gye,mi,9,myo,묘,reverse,/명리학/05_12운성/00_소개.md
gye,o,10,jeol,절,reverse,/명리학/05_12운성/00_소개.md
gye,sa,11,tae,태,reverse,/명리학/05_12운성/00_소개.md
gye,jin,12,yang,양,reverse,/명리학/05_12운성/00_소개.md
