asset_key,cycle_no,gapja_code,gender,asset_type,asset_path,asset_status,render_status,qa_required,source_ref
gye-mi|female|base-composed,20,gye-mi,female,base_composed,combinations/mix_character/020_gye-mi_female.png,exists,generated,yes,gapja-combinations.csv
gap-sin|male|base-composed,21,gap-sin,male,base_composed,combinations/mix_character/021_gap-sin_male.png,exists,generated,yes,gapja-combinations.csv
gap-sin|female|base-composed,21,gap-sin,female,base_composed,combinations/mix_character/021_gap-sin_female.png,exists,generated,yes,gapja-combinations.csv
eul-yu|male|base-composed,22,eul-yu,male,base_composed,combinations/mix_character/022_eul-yu_male.png,exists,generated,yes,gapja-combinations.csv
eul-yu|female|base-composed,22,eul-yu,female,base_composed,combinations/mix_character/022_eul-yu_female.png,exists,generated,yes,gapja-combinations.csv
byeong-sul|male|base-composed,23,byeong-sul,male,base_composed,combinations/mix_character/023_byeong-sul_male.png,exists,generated,yes,gapja-combinations.csv
byeong-sul|female|base-composed,23,byeong-sul,female,base_composed,combinations/mix_character/023_byeong-sul_female.png,exists,generated,yes,gapja-combinations.csv
jeong-hae|male|base-composed,24,jeong-hae,male,base_composed,combinations/mix_character/024_jeong-hae_male.png,exists,generated,yes,gapja-combinations.csv
jeong-hae|female|base-composed,24,jeong-hae,female,base_composed,combinations/mix_character/024_jeong-hae_female.png,exists,generated,yes,gapja-combinations.csv
mu-ja|male|base-composed,25,mu-ja,male,base_composed,combinations/mix_character/025_mu-ja_male.png,exists,generated,yes,gapja-combinations.csv
mu-ja|female|base-composed,25,mu-ja,female,base_composed,combinations/mix_character/025_mu-ja_female.png,exists,generated,yes,gapja-combinations.csv
gi-chuk|male|base-composed,26,gi-chuk,male,base_composed,combinations/mix_character/026_gi-chuk_male.png,exists,generated,yes,gapja-combinations.csv
gi-chuk|female|base-composed,26,gi-chuk,female,base_composed,combinations/mix_character/026_gi-chuk_female.png,exists,generated,yes,gapja-combinations.csv
gyeong-in|male|base-composed,27,gyeong-in,male,base_composed,combinations/mix_character/027_gyeong-in_male.png,exists,generated,yes,gapja-combinations.csv
gyeong-in|female|base-composed,27,gyeong-in,female,base_composed,combinations/mix_character/027_gyeong-in_female.png,exists,generated,yes,gapja-combinations.csv
sin-myo|male|base-composed,28,sin-myo,male,base_composed,combinations/mix_character/028_sin-myo_male.png,exists,generated,yes,gapja-combinations.csv
sin-myo|female|base-composed,28,sin-myo,female,base_composed,combinations/mix_character/028_sin-myo_female.png,exists,generated,yes,gapja-combinations.csv
im-jin|male|base-composed,29,im-jin,male,base_composed,combinations/mix_character/029_im-jin_male.png,exists,generated,yes,gapja-combinations.csv
im-jin|female|base-composed,29,im-jin,female,base_composed,combinations/mix_character/029_im-jin_female.png,exists,generated,yes,gapja-combinations.csv
gye-sa|male|base-composed,30,gye-sa,male,base_composed,combinations/mix_character/030_gye-sa_male.png,exists,generated,yes,gapja-combinations.csv
gye-sa|female|base-composed,30,gye-sa,female,base_composed,combinations/mix_character/030_gye-sa_female.png,exists,generated,yes,gapja-combinations.csv
gap-o|male|base-composed,31,gap-o,male,base_composed,combinations/mix_character/031_gap-o_male.png,exists,generated,yes,gapja-combinations.csv
gap-o|female|base-composed,31,gap-o,female,base_composed,combinations/mix_character/031_gap-o_female.png,exists,generated,yes,gapja-combinations.csv
eul-mi|male|base-composed,32,eul-mi,male,base_composed,combinations/mix_character/032_eul-mi_male.png,exists,generated,yes,gapja-combinations.csv
eul-mi|female|base-composed,32,eul-mi,female,base_composed,combinations/mix_character/032_eul-mi_female.png,exists,generated,yes,gapja-combinations.csv
byeong-sin|male|base-composed,33,byeong-sin,male,base_composed,combinations/mix_character/033_byeong-sin_male.png,exists,generated,yes,gapja-combinations.csv
byeong-sin|female|base-composed,33,byeong-sin,female,base_composed,combinations/mix_character/033_byeong-sin_female.png,exists,generated,yes,gapja-combinations.csv
jeong-yu|male|base-composed,34,jeong-yu,male,base_composed,combinations/mix_character/034_jeong-yu_male.png,exists,generated,yes,gapja-combinations.csv
jeong-yu|female|base-composed,34,jeong-yu,female,base_composed,combinations/mix_character/034_jeong-yu_female.png,exists,generated,yes,gapja-combinations.csv
mu-sul|male|base-composed,35,mu-sul,male,base_composed,combinations/mix_character/035_mu-sul_male.png,exists,generated,yes,gapja-combinations.csv
mu-sul|female|base-composed,35,mu-sul,female,base_composed,combinations/mix_character/035_mu-sul_female.png,exists,generated,yes,gapja-combinations.csv
gi-hae|male|base-composed,36,gi-hae,male,base_composed,combinations/mix_character/036_gi-hae_male.png,exists,generated,yes,gapja-combinations.csv
gi-hae|female|base-composed,36,gi-hae,female,base_composed,combinations/mix_character/036_gi-hae_female.png,exists,generated,yes,gapja-combinations.csv
gyeong-ja|male|base-composed,37,gyeong-ja,male,base_composed,combinations/mix_character/037_gyeong-ja_male.png,exists,generated,yes,gapja-combinations.csv
gyeong-ja|female|base-composed,37,gyeong-ja,female,base_composed,combinations/mix_character/037_gyeong-ja_female.png,exists,generated,yes,gapja-combinations.csv
sin-chuk|male|base-composed,38,sin-chuk,male,base_composed,combinations/mix_character/038_sin-chuk_male.png,exists,generated,yes,gapja-combinations.csv
sin-chuk|female|base-composed,38,sin-chuk,female,base_composed,combinations/mix_character/038_sin-chuk_female.png,exists,generated,yes,gapja-combinations.csv
im-in|male|base-composed,39,im-in,male,base_composed,combinations/mix_character/039_im-in_male.png,exists,generated,yes,gapja-combinations.csv
im-in|female|base-composed,39,im-in,female,base_composed,combinations/mix_character/039_im-in_female.png,exists,generated,yes,gapja-combinations.csv
gye-myo|male|base-composed,40,gye-myo,male,base_composed,combinations/mix_character/040_gye-myo_male.png,exists,generated,yes,gapja-combinations.csv
gye-myo|female|base-composed,40,gye-myo,female,base_composed,combinations/mix_character/040_gye-myo_female.png,exists,generated,yes,gapja-combinations.csv
gap-jin|male|base-composed,41,gap-jin,male,base_composed,combinations/mix_character/041_gap-jin_male.png,exists,generated,yes,gapja-combinations.csv
gap-jin|female|base-composed,41,gap-jin,female,base_composed,combinations/mix_character/041_gap-jin_female.png,exists,generated,yes,gapja-combinations.csv
eul-sa|male|base-composed,42,eul-sa,male,base_composed,combinations/mix_character/042_eul-sa_male.png,exists,generated,yes,gapja-combinations.csv
eul-sa|female|base-composed,42,eul-sa,female,base_composed,combinations/mix_character/042_eul-sa_female.png,exists,generated,yes,gapja-combinations.csv
byeong-o|male|base-composed,43,byeong-o,male,base_composed,combinations/mix_character/043_byeong-o_male.png,exists,generated,yes,gapja-combinations.csv
byeong-o|female|base-composed,43,byeong-o,female,base_composed,combinations/mix_character/043_byeong-o_female.png,exists,generated,yes,gapja-combinations.csv
jeong-mi|male|base-composed,44,jeong-mi,male,base_composed,combinations/mix_character/044_jeong-mi_male.png,exists,generated,yes,gapja-combinations.csv
jeong-mi|female|base-composed,44,jeong-mi,female,base_composed,combinations/mix_character/044_jeong-mi_female.png,exists,generated,yes,gapja-combinations.csv
mu-sin|male|base-composed,45,mu-sin,male,base_composed,combinations/mix_character/045_mu-sin_male.png,exists,generated,yes,gapja-combinations.csv
mu-sin|female|base-composed,45,mu-sin,female,base_composed,combinations/mix_character/045_mu-sin_female.png,exists,generated,yes,gapja-combinations.csv
gi-yu|male|base-composed,46,gi-yu,male,base_composed,combinations/mix_character/046_gi-yu_male.png,exists,generated,yes,gapja-combinations.csv
gi-yu|female|base-composed,46,gi-yu,female,base_composed,combinations/mix_character/046_gi-yu_female.png,exists,generated,yes,gapja-combinations.csv
gyeong-sul|male|base-composed,47,gyeong-sul,male,base_composed,combinations/mix_character/047_gyeong-sul_male.png,exists,generated,yes,gapja-combinations.csv
gyeong-sul|female|base-composed,47,gyeong-sul,female,base_composed,combinations/mix_character/047_gyeong-sul_female.png,exists,generated,yes,gapja-combinations.csv
sin-hae|male|base-composed,48,sin-hae,male,base_composed,combinations/mix_character/048_sin-hae_male.png,exists,generated,yes,gapja-combinations.csv
sin-hae|female|base-composed,48,sin-hae,female,base_composed,combinations/mix_character/048_sin-hae_female.png,exists,generated,yes,gapja-combinations.csv
im-ja|male|base-composed,49,im-ja,male,base_composed,combinations/mix_character/049_im-ja_male.png,exists,generated,yes,gapja-combinations.csv
im-ja|female|base-composed,49,im-ja,female,base_composed,combinations/mix_character/049_im-ja_female.png,exists,generated,yes,gapja-combinations.csv
gye-chuk|male|base-composed,50,gye-chuk,male,base_composed,combinations/mix_character/050_gye-chuk_male.png,exists,generated,yes,gapja-combinations.csv
gye-chuk|female|base-composed,50,gye-chuk,female,base_composed,combinations/mix_character/050_gye-chuk_female.png,exists,generated,yes,gapja-combinations.csv
gap-in|male|base-composed,51,gap-in,male,base_composed,combinations/mix_character/051_gap-in_male.png,exists,generated,yes,gapja-combinations.csv
gap-in|female|base-composed,51,gap-in,female,base_composed,combinations/mix_character/051_gap-in_female.png,exists,generated,yes,gapja-combinations.csv
eul-myo|male|base-composed,52,eul-myo,male,base_composed,combinations/mix_character/052_eul-myo_male.png,exists,generated,yes,gapja-combinations.csv
eul-myo|female|base-composed,52,eul-myo,female,base_composed,combinations/mix_character/052_eul-myo_female.png,exists,generated,yes,gapja-combinations.csv
byeong-jin|male|base-composed,53,byeong-jin,male,base_composed,combinations/mix_character/053_byeong-jin_male.png,exists,generated,yes,gapja-combinations.csv
byeong-jin|female|base-composed,53,byeong-jin,female,base_composed,combinations/mix_character/053_byeong-jin_female.png,exists,generated,yes,gapja-combinations.csv
jeong-sa|male|base-composed,54,jeong-sa,male,base_composed,combinations/mix_character/054_jeong-sa_male.png,exists,generated,yes,gapja-combinations.csv
jeong-sa|female|base-composed,54,jeong-sa,female,base_composed,combinations/mix_character/054_jeong-sa_female.png,exists,generated,yes,gapja-combinations.csv
mu-o|male|base-composed,55,mu-o,male,base_composed,combinations/mix_character/055_mu-o_male.png,exists,generated,yes,gapja-combinations.csv
mu-o|female|base-composed,55,mu-o,female,base_composed,combinations/mix_character/055_mu-o_female.png,exists,generated,yes,gapja-combinations.csv
gi-mi|male|base-composed,56,gi-mi,male,base_composed,combinations/mix_character/056_gi-mi_male.png,exists,generated,yes,gapja-combinations.csv
gi-mi|female|base-composed,56,gi-mi,female,base_composed,combinations/mix_character/056_gi-mi_female.png,exists,generated,yes,gapja-combinations.csv
gyeong-sin|male|base-composed,57,gyeong-sin,male,base_composed,combinations/mix_character/057_gyeong-sin_male.png,exists,generated,yes,gapja-combinations.csv
gyeong-sin|female|base-composed,57,gyeong-sin,female,base_composed,combinations/mix_character/057_gyeong-sin_female.png,exists,generated,yes,gapja-combinations.csv
sin-yu|male|base-composed,58,sin-yu,male,base_composed,combinations/mix_character/058_sin-yu_male.png,exists,generated,yes,gapja-combinations.csv
sin-yu|female|base-composed,58,sin-yu,female,base_composed,combinations/mix_character/058_sin-yu_female.png,exists,generated,yes,gapja-combinations.csv
im-sul|male|base-composed,59,im-sul,male,base_composed,combinations/mix_character/059_im-sul_male.png,exists,generated,yes,gapja-combinations.csv
im-sul|female|base-composed,59,im-sul,female,base_composed,combinations/mix_character/059_im-sul_female.png,exists,generated,yes,gapja-combinations.csv
gye-hae|male|base-composed,60,gye-hae,male,base_composed,combinations/mix_character/060_gye-hae_male.png,exists,generated,yes,gapja-combinations.csv
gye-hae|female|base-composed,60,gye-hae,female,base_composed,combinations/mix_character/060_gye-hae_female.png,exists,generated,yes,gapja-combinations.csv
