triad_group,base_branches,geopsal,jaesal,cheonsal,jisal,nyeonsal,wolsal,mangsin,jangseong,banan,yeokma,yukhae,hwagae,note,source_ref
fire,in;o;sul,hae,ja,chuk,in,myo,jin,sa,o,mi,sin,yu,sul,년지 또는 일지를 기준으로 삼합군을 잡아 다른 지지와 대조,/명리학/06_12신살
wood,hae;myo;mi,sin,yu,sul,hae,ja,chuk,in,myo,jin,sa,o,mi,년지 또는 일지를 기준으로 삼합군을 잡아 다른 지지와 대조,/명리학/06_12신살
metal,sa;yu;chuk,in,myo,jin,sa,o,mi,sin,yu,sul,hae,ja,chuk,년지 또는 일지를 기준으로 삼합군을 잡아 다른 지지와 대조,/명리학/06_12신살
water,sin;ja;jin,sa,o,mi,sin,yu,sul,hae,ja,chuk,in,myo,jin,년지 또는 일지를 기준으로 삼합군을 잡아 다른 지지와 대조,/명리학/06_12신살
